sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100,PC101,PC102,PC103,PC104,PC105,PC106,PC107,PC108,PC109,PC110,PC111,PC112
S1_E_LT_31A,45765,-0.481910856,-0.002286617,-0.001880718,0.023142904,0.005473446,-0.001440549,-0.04165643,0.00520581,-0.02705689,-0.00127975,0.02173635,0.006264516,-0.000974997,-0.002452233,0.002506027,0.004657581,-0.010357618,-0.002511121,0.004372546,-0.000966671,0.000954885,0.000666237,-0.002215392,0.002466357,0.001860715,-0.001008984,-7.60E-05,0.000510852,0.000895975,0.000314615,-0.001000629,0.000723108,-0.000596756,-0.000636824,0.000338167,-0.000243959,0.000320336,0.000394808,-0.000186219,0.000580153,0.000935693,-0.000202678,-0.002897258,-0.003406092,-0.000544331,-2.11E-05,0.000678805,0.00017026,-0.00081411,-0.000420002,0.000942569,-0.001357746,-0.000653275,-0.001081047,2.50E-05,-6.96E-06,-0.000140329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1_E_LT_33A,45766,-0.540736291,-0.005232574,-0.005063703,0.045577005,0.005617237,-0.011008253,-0.021819113,-0.002608158,-0.003995114,0.001892263,-0.003799055,-0.00074802,0.012914565,0.001660621,0.007685949,0.002632127,0.011316495,-0.00257986,0.003616411,0.005124512,0.000680981,1.16E-05,-0.007481621,0.007009373,0.012525299,-0.00088715,7.00E-06,-0.002088936,0.004939533,0.002222297,-0.005384222,-0.003521056,-0.003936275,0.000535542,0.000211364,0.000102912,0.000259806,-0.001292659,0.000575715,-0.000179299,0.000357676,-0.000402099,-0.001055321,-0.000623293,-4.91E-05,-0.000143432,-7.03E-05,-0.000204973,0.000162558,0.000926428,-0.000581628,3.52E-05,0.000794624,0.000838701,-2.19E-05,-1.98E-05,-0.000101942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1_E_LT_35A,45767,-0.388288834,0.002450956,0.004984405,-0.065418759,-0.000244326,-0.015483889,-0.00722954,0.000343379,0.032658183,-0.018640481,0.011614517,-0.001380647,0.019924309,0.005577377,0.005929492,-0.002429791,0.01001435,0.004463389,-0.004235418,0.00319771,-0.002499094,-5.37E-05,-0.001165745,0.00176204,-0.006055842,-0.004005509,0.000275537,0.001244376,-0.002802737,-0.003346206,0.002567009,-7.21E-05,0.002537276,-0.000221416,0.000478837,0.00092054,-0.002204957,0.000441501,-5.73E-05,-0.000483224,-0.000837992,-0.000552302,0.001132402,0.001098271,0.00032051,0.000448078,-3.18E-05,0.00013402,3.35E-05,-0.000349543,0.0002493,2.41E-05,-0.000138922,-3.93E-05,1.14E-05,-4.57E-06,2.64E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1_E_ST_39B,45768,-0.40399424,0.001775437,0.0030761,-0.098365389,-0.001019063,-0.056993833,0.005679706,0.007218173,0.002654324,-0.01022673,0.014854943,0.005265078,0.014253056,-0.002376781,0.004361262,0.00138097,-0.002330837,-0.000634809,-0.001544654,-0.012178673,0.001898045,0.000441934,0.000555383,-0.001447574,0.005481812,-0.000628931,0.001128882,-0.000407187,0.003796875,0.003175109,-0.003905244,0.001652929,-0.002297847,-0.001026009,-8.89E-05,-0.001313086,0.002165714,0.001109532,-0.000504683,0.000764883,0.000504954,0.001331078,-0.000755019,-0.000960363,-0.000340148,-0.000416836,0.00010846,-5.59E-05,-0.000101621,0.000157821,-7.99E-05,-1.08E-05,0.000101763,0.000102527,-7.49E-06,-3.11E-06,-2.40E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1_P_LT_31A,45770,0.295704976,-0.160548287,0.003359337,0.002134173,0.002016461,-0.000715634,0.004036746,-0.013548753,-0.003012663,0.002315991,0.004257175,-0.006849505,0.001082023,-0.004866272,0.003499676,0.004173176,-0.002320448,-0.000766261,-0.005589387,0.000123891,0.001310881,0.002245282,-0.0006325,-0.001923594,4.58E-05,-0.003483434,0.002690918,0.00229797,-0.000105794,-0.000523749,-0.000506689,-0.001194298,0.00103706,0.001532842,0.001454447,-0.001298708,-5.37E-05,0.002172934,0.002716044,-0.001931915,0.000236525,0.000155094,0.00020543,-0.000502408,0.001631202,0.001998373,0.000108248,0.002540702,0.000135408,0.001107647,-0.000221837,-0.000308589,-0.000237092,0.000389139,0.001183503,9.59E-05,4.45E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1_P_LT_33A,45771,0.300970358,-0.157280851,0.002128813,0.002547152,0.003551002,-8.66E-05,0.003014198,-0.012568824,-0.000428256,0.002120166,0.00020771,0.003541502,0.001747956,-0.028672221,-0.004038856,0.014828876,0.005649739,0.01415124,0.006237566,-0.002304507,-0.001746836,0.001761996,0.001280185,0.003128117,-0.001833163,-0.003930266,0.001172289,0.001055899,-0.002020802,0.000119516,0.000825384,-0.002045841,-0.001470117,-0.000207775,-0.000306467,-0.00110256,0.000502335,0.000144902,0.000329714,-8.27E-06,-7.88E-05,0.00010403,-2.20E-05,-0.00074702,0.000359913,-3.22E-05,-0.000243406,3.54E-05,8.33E-05,-5.87E-06,-0.000239513,7.59E-05,0.000189827,5.83E-05,1.99E-05,-1.89E-05,1.74E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1_P_LT_35A,45772,0.297242412,-0.152209437,0.00158848,0.003647946,0.002177438,-0.00070036,0.006125928,-0.018725675,-0.003433424,0.002349403,0.003087453,-0.003285464,5.52E-05,-0.002428633,0.005005973,0.004483193,-0.002643444,-0.001758608,-0.004403441,-0.00039873,0.000447618,0.00032102,-0.002612218,-0.005918497,0.000534575,-0.007062466,-0.002253847,0.000306615,-0.001000961,-5.08E-06,6.06E-05,-0.001203766,5.05E-05,-0.000661016,-0.001374359,2.17E-05,-0.000103159,0.001913422,0.002900771,-0.002142554,-2.36E-05,-0.001009894,-0.000828636,0.000807245,0.000688893,-0.0008421,0.001531108,-0.00283702,-2.20E-05,-0.000491557,0.000261787,-0.000120435,0.000551138,1.99E-05,-0.000457208,-9.03E-05,-6.13E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1_P_ST_39B,45773,0.302332311,-0.111017719,-0.006599459,0.009208923,0.002100983,-2.87E-05,0.009482835,-0.020365132,-3.95E-05,0.005453652,0.003260069,-0.020648018,0.000374608,-0.018779878,0.001634199,0.002594335,-0.000595263,-0.008854759,0.001035132,-0.000326366,-0.000658639,-0.012144394,-0.003140632,-0.005461763,0.000262932,-0.000975054,0.006067932,0.003529128,0.001082544,-0.000849298,-0.000903956,-0.000646276,0.001320616,0.00118451,0.000347542,0.00055253,-0.000318029,-0.000322625,-8.69E-05,-0.000415826,0.000159404,-0.000254048,-1.91E-05,0.000647075,-0.003002341,0.00147985,-0.000436735,0.000173389,-0.000120569,-3.33E-05,0.000243611,-0.000144359,0.000175194,9.78E-05,-0.000240336,-4.91E-05,-3.88E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_E_LT_31A,45775,-0.551735391,-0.005793412,-0.005138878,0.057278024,0.005205845,0.003569628,-0.010353856,0.00080515,-0.008869375,0.004647293,-0.011961296,-0.001457803,0.013282088,-0.000410349,0.003096775,-0.00227527,0.004067343,-0.00129911,0.00206915,-0.008075407,0.002821529,0.001226593,0.00308487,-0.000638211,0.006994888,0.000535987,-0.001764216,0.003521259,-0.004987364,-0.003286414,0.002635508,0.002448479,0.004612201,0.000712581,-0.001989864,-0.001340345,0.002170905,0.001213674,-0.000873994,0.000325856,0.000404159,-2.60E-05,-0.000619615,0.000579455,0.000163915,8.82E-05,-2.01E-05,-0.000105345,-9.31E-05,0.000591609,0.000151001,-0.001005235,0.00023314,-3.62E-05,2.24E-05,-3.00E-05,-0.000142289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_E_LT_33A,45776,-0.551811441,-0.005794835,-0.005346287,0.058962884,0.005454765,0.004692758,-0.011394108,0.003342378,-0.018020495,0.005980675,-0.008240283,-0.000579486,0.014344201,-8.14E-05,0.006420623,-0.00024805,0.009091268,-0.001587044,0.002358987,-0.000720339,0.000963867,0.000522296,0.006567068,-0.002835988,-0.006922292,-0.002619466,0.000160184,-0.00039668,0.00445146,0.000688191,0.001762003,0.005322542,0.001900261,0.003413134,-0.003822144,-0.001118762,0.001762078,-0.000307104,0.000213228,-0.000446015,-0.000452863,-0.000955913,0.000743986,0.000519239,0.000305173,0.000514202,-1.37E-05,0.000256781,0.000144314,-0.001016511,0.000199304,0.001151919,-0.000561894,4.20E-05,-1.01E-05,1.82E-05,-1.86E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_E_LT_35A,45777,-0.414139156,0.00083006,0.01321109,-0.058488094,-0.007818677,0.072636094,-0.003899856,0.007534454,-0.013875156,-0.005499039,-0.004555522,0.005739264,0.018134485,-0.002694257,-0.007696763,0.002187208,-0.020187916,0.003857687,-0.008346484,-0.000639755,-0.002004078,-0.001547542,0.000654626,-0.004254312,0.00191618,0.00178506,0.003031851,-0.003153746,-0.000966652,-0.000102254,-5.31E-05,-0.000271814,-0.003332901,-0.000340044,0.000398962,-0.000405673,0.000763615,-8.22E-05,6.40E-05,0.000176793,0.00015334,0.00037104,-0.000386947,-0.000294348,-3.68E-05,-6.09E-05,-5.76E-06,-1.67E-05,6.29E-05,6.85E-05,-8.45E-05,0.000179738,8.84E-05,0.000185531,-9.45E-07,-1.65E-06,3.17E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_E_ST_39B,45778,-0.45438044,-0.000730849,-0.000176364,-0.084852014,-0.000301682,-0.073992272,0.017065066,0.010414088,-0.025866969,0.004919577,0.003697775,0.005433431,-0.000341892,-0.005458032,0.001380598,0.003574158,-0.004846983,-0.004813617,0.005674192,0.001083338,0.00201365,5.14E-05,0.009310213,-0.006780336,-0.006842236,0.006552958,-0.003125395,0.001027518,-0.001560768,0.001581872,-3.34E-05,-0.003738566,-0.000150122,0.001383498,-0.000256603,0.000729295,-0.000990684,-0.001198997,0.00048153,-0.000409834,-2.94E-05,-0.000543311,0.000238378,0.000459116,5.68E-05,-8.65E-05,-0.000163575,-0.000138025,0.000119022,0.000405643,-0.000280301,-0.000184726,0.00020106,-4.16E-05,-3.61E-06,5.81E-06,4.26E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_P_LT_31A,45780,0.298281467,-0.172352759,0.006313609,-4.58E-05,0.001996014,-0.00078827,-0.001430245,0.000164437,-0.001890727,-0.003386928,0.000313695,0.011026063,0.003845868,0.004587567,-0.014702606,0.000776866,0.004698522,-0.002025587,0.000602557,-0.000110333,0.001038901,-0.00092998,-6.81E-05,0.000632319,-0.000676981,-0.002638481,0.001610968,0.001757458,-0.000538525,-0.000307831,-0.000129161,-0.001993065,0.000583039,0.002823312,0.001976928,-0.002898706,-0.000262301,-0.002146313,-0.00128983,0.000818935,0.001882124,0.000105948,0.000456298,-0.000457022,0.003439796,-0.000325515,-0.000872189,-0.001972897,7.53E-05,7.06E-05,-0.000217405,0.000172595,-6.29E-05,-0.000531355,-0.000777094,2.86E-06,-2.94E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_P_LT_33A,45781,0.29268642,-0.178410884,0.007271698,-0.001460039,0.001555364,-0.000678161,-0.001286706,-0.000497293,-0.002400909,-0.000151834,0.004662956,-0.00134563,0.003306678,0.006765037,-0.005897243,-0.003729561,0.000539219,0.001128286,0.003832358,-0.001040449,-0.00170152,-0.007042581,-0.001443119,-0.003073746,0.000257283,-0.002633151,-0.001016008,-0.000158902,-0.000686349,0.00012727,0.000312238,-0.000528683,-0.000521023,-0.00135573,-0.00146227,0.001102522,0.000390681,0.000269175,-0.000732359,0.002136444,-0.004322304,-0.000400172,-0.000848803,-0.001187277,0.002734237,0.000259826,-0.001411174,-0.001370946,3.46E-05,0.000429314,-0.000184741,-5.20E-05,-0.000125654,0.000303259,0.000661583,1.06E-05,5.35E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_P_LT_35A,45782,0.295986125,-0.16173006,0.003761148,0.00175026,0.002008987,-0.000736725,0.001448937,-0.004535627,-0.001935284,0.00031445,0.003472726,-0.002492954,0.002364411,0.005335378,-0.004521917,-0.004237737,0.000426117,0.001691158,0.004360703,-0.000524746,-0.002722461,-0.001011352,-0.002862444,-0.005617108,0.000682153,-0.003619312,-0.002470195,-0.000567624,-0.00104827,0.000208549,0.000183303,-0.001214524,-0.000417101,4.61E-05,-0.000966802,-0.002536326,-0.001120111,-0.002105229,-0.000989189,-0.000735925,0.002030803,-0.000426336,-0.00055552,0.000560639,-0.000809867,-0.001879447,-0.000255003,0.00042899,0.000203461,0.001295015,-0.001185097,0.000441235,-0.000972498,-0.000241751,0.000245035,2.13E-05,1.72E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_P_ST_39B,45783,0.302607835,-0.122665109,-0.004098925,0.007857558,0.002589342,-0.000449601,0.00522092,-0.007243781,0.000315726,0.001537699,0.002789299,-0.012096138,0.002873486,-0.003169264,-0.009670188,-0.007907161,0.003040954,-0.000824554,0.006692045,0.001152329,-0.002685078,0.006021655,-0.001223767,-0.000816337,0.000338896,0.004406152,-0.002123701,-0.001905497,0.000102736,0.000441354,0.000134247,0.001165832,-0.000869399,0.000245294,-0.000369322,0.004965414,0.002005956,-0.001003301,-0.001966645,0.001940221,-0.001557853,-0.00038574,-0.000551929,0.000256276,-0.001663342,-0.001372851,-0.00059728,0.002496857,7.92E-05,0.000377493,-0.000293317,4.89E-05,0.00025837,0.000150789,-0.000544045,-0.000169642,-4.04E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S3_E_LT_31A,45785,0.289720151,-0.19157741,0.01014726,-0.004458865,0.00098575,-0.000507656,-0.0048289,0.006951219,-0.002011292,7.67E-05,0.007211024,-0.007324112,0.00512312,0.003423365,-0.007481976,-0.003577785,-0.000102958,0.000901819,-0.002083522,-9.91E-05,0.000550283,-0.002592909,0.000940095,0.000156219,0.000614779,-0.003718333,-0.007201594,-0.003202353,-0.001174955,0.000631672,0.000441155,0.000157935,-0.000136691,0.002606567,0.003221491,-0.000827147,0.000975229,0.001216032,0.001834754,-0.001426056,0.002344443,2.02E-05,0.000145545,0.000688805,0.001348966,-0.002371053,0.004131648,0.001005526,0.000280733,8.97E-06,-0.00059909,0.000386578,-8.80E-05,-0.000340378,-0.00041079,-2.63E-05,3.43E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S3_E_LT_33A,45786,0.279466626,0.230684895,0.046911736,0.001831807,0.036267459,-0.000117591,0.000882244,0.00209186,0.000665004,-0.003077163,-0.003640802,-0.007551248,-0.002673331,0.007917629,-0.002436567,0.013235828,-9.42E-05,-0.002279067,0.003615029,-0.005240521,-0.000355261,0.000719996,0.00088689,0.000946463,-0.001048783,-0.000243148,-2.69E-05,-0.002213144,0.000549244,-0.000223717,0.00017462,0.001355019,-0.00084376,0.000429303,0.000831754,0.000651954,-0.001730644,-0.00128428,0.001262488,0.000526123,0.000283624,0.00267003,-0.00357884,0.002878409,0.000703009,0.00092844,-0.000393606,0.000188098,0.001827327,-0.001247132,-0.000845487,-0.000306406,-0.000376273,-0.000319112,0.00028395,-0.001373796,-0.000136704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S3_E_LT_35A,45787,0.279261356,0.231716371,0.048036771,0.002059521,0.03340418,-0.000662858,0.000634144,0.001334649,-0.001274288,-0.008164516,-0.004394824,-0.007632423,-0.002718841,0.006310269,-0.001873173,0.009726002,0.000224466,-0.00074166,0.003372582,-0.003447606,0.003545694,0.000441462,-0.000401824,8.69E-05,-0.001410205,-0.000309221,0.001260426,-0.004457609,-0.00144008,0.000205663,-0.002052142,0.000750776,0.001595938,0.000367528,-2.94E-05,0.000409506,-0.00107412,-0.000534224,0.000565877,7.52E-05,1.77E-05,0.000827787,-0.001114788,0.001162677,0.000457293,0.000354765,-6.29E-05,0.000188638,-0.004332215,-3.59E-05,-0.000946524,0.000702355,0.000661587,-0.000262392,3.30E-08,0.000573849,6.64E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S3_E_ST_39B,45788,0.279224994,0.232605601,0.048821916,0.002893155,0.021832633,-0.002056905,-0.000468707,-0.001323855,-0.007028652,-0.02280316,-0.005595225,-0.006241706,-0.002292896,0.000547016,0.000195375,-0.002477959,0.000892303,-0.000126642,-0.000378467,-0.000221938,-0.003122735,0.000539534,0.001438798,0.001230039,0.000880653,-0.001199015,-0.002545986,0.005067952,0.002425321,-0.000290535,0.00166212,0.001050245,-0.00047956,0.000821347,0.000100088,0.00066615,-0.002297935,-0.001062964,0.000943975,-0.000471256,-0.000574859,0.000941221,-0.001234266,0.001221975,0.000697448,0.000271216,0.000213787,4.23E-05,-0.002715895,0.001059689,0.001612404,-0.000549131,-0.000629231,0.000706861,-0.000213365,0.000178368,8.46E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S3_P_LT_31A,45790,0.27918234,0.230898974,0.046854202,0.001309652,0.040320706,0.000386014,0.001117838,0.002566258,0.001448498,-0.00178408,-0.004230512,-0.009417772,-0.003308919,0.010459354,-0.003119837,0.018436777,-0.000344116,-0.003992161,0.00345961,-0.006723316,-0.00651079,0.000865214,0.002539638,0.00215079,-0.000390599,-0.000375069,-0.000908354,0.000248462,0.00119548,-0.000177087,0.001259424,0.001315549,-0.002157417,4.58E-05,0.001181092,6.27E-05,-0.000211117,0.000201704,-0.001740275,-0.001856755,-0.000535719,-0.001094814,0.000965541,-0.000687409,-0.000220365,-0.000416021,0.000260358,-0.000215514,0.000648701,0.001322255,0.001540911,0.00022399,0.00016518,0.000160745,-0.000171879,0.000737047,9.05E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S3_P_LT_33A,45791,0.286302136,-0.199176989,0.011939815,-0.006218357,0.000581658,-0.000361401,-0.006144104,0.008851949,-0.002237166,0.000201945,0.007910608,-0.006849728,0.004968292,0.006293443,-0.005763962,-0.003975831,-0.00113061,0.001340729,-0.002079548,-0.00119937,0.000862662,-0.004045988,0.001070679,-0.000152448,0.000505247,-0.004741607,-0.004704395,-0.001576932,-0.000958139,0.000300728,3.21E-05,-0.000491514,-0.00028931,0.001574754,3.09E-05,0.002191062,0.000620504,-0.002846135,-0.002630024,0.00060237,0.002120255,0.000589639,0.000668212,0.000106405,-0.002295511,0.00164386,-0.002293752,-0.001932274,-0.000258097,0.000114351,0.000182545,-0.000118535,-0.000509306,7.64E-05,0.000469433,6.02E-05,-1.30E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S3_P_LT_35A,45792,0.291036383,-0.179452191,0.007609509,-0.001688602,0.001425475,-0.00061883,-0.001413407,0.000469804,-0.001849383,0.000607085,0.004662014,-0.005772549,0.002497047,0.002283579,-0.002214585,-0.00277612,-0.000633995,0.000166082,0.001285071,2.23E-05,-0.001432544,-0.002388485,-0.00142595,-0.002977501,0.000705639,0.000536482,-0.001425554,-0.001235774,0.000582549,0.000119773,4.31E-05,0.001334309,0.00037247,-0.000615443,0.000833319,-0.001591836,-0.001048113,0.000313427,-0.000703588,0.001747887,-0.002664468,-0.00013639,2.71E-05,0.000357183,-0.001493468,0.000498454,0.003278685,0.000747381,-0.000107403,-0.001758004,0.001205293,-0.000442441,0.001579273,0.000751698,0.00079811,-2.57E-06,6.47E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S3_P_ST_39B,45793,0.295479255,-0.158782769,0.003259162,0.002113019,0.001918704,-0.000656714,0.000816399,-0.000447397,-0.000432557,0.001018607,0.003237421,-0.008934171,0.002007476,-0.001338711,-0.003391309,-0.004198846,0.000719837,0.001790371,0.004906785,0.000724884,-0.003670512,0.004149488,-0.00342818,-0.005555649,0.000667081,0.000977199,0.001598871,0.000555769,0.000245297,-0.000167555,-6.35E-05,-0.000450617,9.42E-05,-0.001116521,-0.001077479,-0.003306945,-0.001639775,-0.000280685,0.000908345,-0.003068935,0.004209098,0.001409231,0.001116215,-0.000518953,0.000890546,0.001925798,0.00032932,-0.001085462,-9.15E-05,-0.000344985,0.000416751,-0.000192204,0.000367439,0.000262019,-0.000174224,-8.58E-05,-5.27E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S4_E_LT_31A,45795,0.256352187,0.152665545,-0.157662309,-0.018912749,0.014893426,0.021453222,-0.00615321,-0.004630005,0.002026052,-0.008881662,-0.0027113,0.0014698,-0.003262883,-0.004455651,0.005010148,-0.011588891,-0.000473658,-0.017384246,0.005226195,-0.008583238,0.000447495,0.003859688,0.001304033,0.002278869,-0.003167574,-0.001754017,0.002501846,-0.006573887,0.003709187,-0.003339078,0.004284958,-0.005898006,-0.000778446,-0.001050069,0.00041709,-0.000561044,0.001559333,0.000201504,0.000418162,0.001187142,0.000936883,-0.000438677,0.000240949,0.001035882,0.000391402,-0.00010505,-0.000223984,-7.30E-05,-3.61E-05,0.000399164,0.00015627,-0.000179328,-0.000497248,2.62E-05,2.66E-05,7.21E-06,-6.51E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S4_E_LT_33A,45796,0.258007952,0.158307252,-0.148587129,-0.016089991,0.011906847,0.019058823,-0.005453637,-0.000421621,0.003259471,-0.005281244,-0.00306375,0.002996706,-0.00158516,-0.002560587,-0.001388635,-0.004412262,0.000342536,-0.010029299,-0.000395173,-0.003471288,0.000569668,0.001372208,0.00082064,0.000495561,-0.000203333,-0.001931874,-0.000669701,0.002651111,-0.002338266,0.001915379,-0.003803969,0.005511299,-3.26E-06,0.002386095,-0.00036437,0.001498759,-0.00380266,-0.001742509,-0.001334715,-0.004548116,-0.001512915,0.000563988,-0.000879749,-0.002646937,-8.77E-05,-0.000457284,-0.000419718,-1.32E-05,0.000809435,-8.37E-06,-0.001498523,0.000498456,0.001321759,-0.000156915,-1.10E-05,-1.39E-05,8.53E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S4_E_LT_35A,45797,0.256462028,0.17883138,-0.118543615,-0.007042853,0.00444047,0.005611514,-0.000708344,0.008247243,-2.13E-05,0.00136219,-0.001687695,0.005133023,0.004439169,0.003210971,-0.010846604,0.009174056,-0.002122707,0.009138149,-0.011694262,0.00715952,0.001743575,-0.003747131,-0.000786933,-0.005980384,0.005768338,0.004728124,-0.002826278,0.000800543,0.006596375,-0.001719951,-0.001061643,0.000877088,0.006802005,0.001010322,-0.000735397,0.001982234,-0.002396884,-0.000656704,-0.001595512,-0.003626044,-0.000828796,0.001759972,-0.001071864,-0.00066325,0.000278417,-0.00061862,-0.000415905,2.42E-05,0.00023713,0.000334835,-0.000113903,6.91E-05,-0.000255952,-6.45E-05,-9.18E-06,2.11E-05,-3.17E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
