,,,,host_info if applicable,,,,,,sampling info if applicable,,,
sample_name,fastq_fwd_file_name,fastq_rev_file_name,sample_type,host_phylum,host_class,host_order,host_family,host_genus,host_species,collection_latitude,collection_longitude,collection_date (DD.MM.YY),collection_depth
S7-P-LT-33A,S7-P-LT-33A-ITS2_p1c11_L001_R1_001.fastq.gz,S7-P-LT-33A-ITS2_p1c11_L001_R2_001.fastq.gz,coral,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,N 22.26302°,E 39.05165°,07.08.2019,8-Feb
S7-P-LT-35A,S7-P-LT-35A-ITS2_p1d06_L001_R1_001.fastq.gz,S7-P-LT-35A-ITS2_p1d06_L001_R2_001.fastq.gz,coral,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,N 22.26302°,E 39.05165°,07.08.2019,8-Feb
S7-P-ST-39B,S7-P-ST-39B-ITS2_p1f03_L001_R1_001.fastq.gz,S7-P-ST-39B-ITS2_p1f03_L001_R2_001.fastq.gz,coral,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,N 22.26302°,E 39.05165°,07.08.2019,8-Feb
S1-E-ST-30B,S1-E-ST-30B-ITS2_L001_R1_001.fastq.gz,S1-E-ST-30B-ITS2_L001_R2_001.fastq.gz,coral,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,N 22.26189°,E 39.04878°,07.08.2019,8-Feb
S1-E-ST-33B,S1-E-ST-33B-ITS2_L001_R1_001.fastq.gz,S1-E-ST-33B-ITS2_L001_R2_001.fastq.gz,coral,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,N 22.26189°,E 39.04878°,07.08.2019,8-Feb
S1-E-ST-36B,S1-E-ST-36B-ITS2_L001_R1_001.fastq.gz,S1-E-ST-36B-ITS2_L001_R2_001.fastq.gz,coral,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,N 22.26189°,E 39.04878°,07.08.2019,8-Feb
S1-P-ST-30B,S1-P-ST-30B-ITS2_L001_R1_001.fastq.gz,S1-P-ST-30B-ITS2_L001_R2_001.fastq.gz,coral,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,N 22.26302°,E 39.05165°,07.08.2019,8-Feb
S1-P-ST-33B,S1-P-ST-33B-ITS2_L001_R1_001.fastq.gz,S1-P-ST-33B-ITS2_L001_R2_001.fastq.gz,coral,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,N 22.26302°,E 39.05165°,07.08.2019,8-Feb
S1-P-ST-36B,S1-P-ST-36B-ITS2_L001_R1_001.fastq.gz,S1-P-ST-36B-ITS2_L001_R2_001.fastq.gz,coral,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,N 22.26302°,E 39.05165°,07.08.2019,8-Feb
S2-E-ST-30B,S2-E-ST-30B-ITS2_L001_R1_001.fastq.gz,S2-E-ST-30B-ITS2_L001_R2_001.fastq.gz,coral,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,N 22.26189°,E 39.04878°,07.08.2019,8-Feb
